item_id,vendor_name,title,match_name,score,cand_calories,cand_raw_snippet
51ef1dc9-0,healthybee,Paneer Sprouts Salad,paneer,90.0,,"{'name': 'Paneer', 'aliases': ['cottage cheese', 'indian cottage cheese', 'paneer cubes'], 'category': 'dairy', 'serving': '50g (3-4 cubes)', 'macros': {'per': '100g', 'kcal': 265, 'protein_g': 18.3, 'carbs_g': 1.2, 'fat_g': 20.8, 'fiber_g': 0, 'sodium_mg': 18}, 'micros': {'calcium_mg': 480, 'phosph"
51ef1dc9-0,healthybee,Paneer Sprouts Salad,sprouts,90.0,,"{'name': 'Sprouts', 'aliases': ['moong sprouts', 'mixed sprouts'], 'category': 'pulses', 'serving': '1 katori (100g)', 'macros': {'per': '100g', 'kcal': 30, 'protein_g': 3.0, 'carbs_g': 5.9, 'fat_g': 0.2, 'fiber_g': 1.8, 'sodium_mg': 6}, 'micros': {'iron_mg': 1.3, 'calcium_mg': 13, 'vitamin_c_mg': 1"
51ef1dc9-0,healthybee,Paneer Sprouts Salad,palak paneer,85.5,,"{'name': 'Palak Paneer', 'aliases': ['spinach paneer', 'spinach cottage cheese'], 'category': 'vegetables', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 145, 'protein_g': 8.5, 'carbs_g': 5.2, 'fat_g': 10.8, 'fiber_g': 2.1, 'sodium_mg': 420}, 'micros': {'iron_mg': 3.8, 'calcium_mg'"
51ef1dc9-1,healthybee,Spinach Paneer Bhurji Chapati Meal,chapati,90.0,,"{'name': 'Chapati', 'aliases': ['roti', 'phulka', 'wheat chapati'], 'category': 'grains', 'serving': '1 medium (30g)', 'macros': {'per': '100g', 'kcal': 297, 'protein_g': 11.8, 'carbs_g': 56.4, 'fat_g': 3.7, 'fiber_g': 11.2, 'sodium_mg': 558}, 'micros': {'iron_mg': 4.9, 'calcium_mg': 48, 'vitamin_b1"
51ef1dc9-1,healthybee,Spinach Paneer Bhurji Chapati Meal,paneer,90.0,,"{'name': 'Paneer', 'aliases': ['cottage cheese', 'indian cottage cheese', 'paneer cubes'], 'category': 'dairy', 'serving': '50g (3-4 cubes)', 'macros': {'per': '100g', 'kcal': 265, 'protein_g': 18.3, 'carbs_g': 1.2, 'fat_g': 20.8, 'fiber_g': 0, 'sodium_mg': 18}, 'micros': {'calcium_mg': 480, 'phosph"
51ef1dc9-1,healthybee,Spinach Paneer Bhurji Chapati Meal,palak paneer,85.5,,"{'name': 'Palak Paneer', 'aliases': ['spinach paneer', 'spinach cottage cheese'], 'category': 'vegetables', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 145, 'protein_g': 8.5, 'carbs_g': 5.2, 'fat_g': 10.8, 'fiber_g': 2.1, 'sodium_mg': 420}, 'micros': {'iron_mg': 3.8, 'calcium_mg'"
51ef1dc9-2,healthybee,Non-Veg High Protein Meal Box,sprouts,51.42857142857142,,"{'name': 'Sprouts', 'aliases': ['moong sprouts', 'mixed sprouts'], 'category': 'pulses', 'serving': '1 katori (100g)', 'macros': {'per': '100g', 'kcal': 30, 'protein_g': 3.0, 'carbs_g': 5.9, 'fat_g': 0.2, 'fiber_g': 1.8, 'sodium_mg': 6}, 'micros': {'iron_mg': 1.3, 'calcium_mg': 13, 'vitamin_c_mg': 1"
51ef1dc9-2,healthybee,Non-Veg High Protein Meal Box,smoothie bowl,48.46153846153846,,"{'name': 'Smoothie Bowl', 'aliases': ['fruit smoothie', 'berry smoothie'], 'category': 'breakfast', 'serving': '1 bowl (300g)', 'macros': {'per': '100g', 'kcal': 85, 'protein_g': 2.8, 'carbs_g': 16.5, 'fat_g': 1.2, 'fiber_g': 2.5, 'sodium_mg': 35}, 'micros': {'vitamin_c_mg': 45, 'calcium_mg': 95, 'p"
51ef1dc9-2,healthybee,Non-Veg High Protein Meal Box,masala dosa,47.36842105263159,,"{'name': 'Masala Dosa', 'aliases': ['potato dosa', 'aloo dosa'], 'category': 'breakfast', 'serving': '1 piece (200g)', 'macros': {'per': '100g', 'kcal': 185, 'protein_g': 4.2, 'carbs_g': 28.5, 'fat_g': 5.8, 'fiber_g': 2.1, 'sodium_mg': 280}, 'micros': {'iron_mg': 1.4, 'calcium_mg': 32, 'vitamin_c_mg"
51ef1dc9-3,healthybee,Rajma Masala Brown Rice Meal Box,rajma,90.0,,"{'name': 'Rajma', 'aliases': ['kidney beans', 'rajma masala', 'red kidney beans'], 'category': 'pulses', 'serving': '1 katori (150g)', 'macros': {'per': '100g', 'kcal': 127, 'protein_g': 8.7, 'carbs_g': 22.8, 'fat_g': 0.5, 'fiber_g': 6.4, 'sodium_mg': 380}, 'micros': {'iron_mg': 2.5, 'calcium_mg': 5"
