item_id,vendor_name,title,calories,calories_confidence,calories_source,model_pred_calories,abs_diff
51ef1dc9-68,healthybee,Apple Milkshake,143.41958410261597,0.7,model_regressor,143.41958410261597,79.52965006843715
sg-i1,swad gomantak,Grilled Fish Thali (light),325.66542613587256,0.7,model_regressor,325.66542613587256,54.334573864127435
51ef1dc9-67,healthybee,"Healthy and flavorful shake prepared with milk, apple, and banana.",175.21378046628735,0.7,model_regressor,175.21378046628735,45.96152284248387
51ef1dc9-10,healthybee,Only Peri Peri Grilled Chicken [200 gm],216.5290375465333,0.7,model_regressor,216.5290375465333,37.02341666984114
51ef1dc9-71,healthybee,Carrot Beetroot Juice [sugar-free],183.30522202680368,0.7,model_regressor,183.30522202680368,25.93998287311959
hb-i1,healthybee,Paneer Sprouts Salad,155.47906492932947,0.7,model_regressor,155.47906492932947,24.520935070670532
51ef1dc9-50,healthybee,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",189.24536718388924,0.7,model_regressor,189.24536718388924,23.633650576469307
51ef1dc9-28,healthybee,Peri - Peri Chicken Salad,187.61594124452324,0.7,model_regressor,187.61594124452324,23.083971155234792
51ef1dc9-77,healthybee,Fruit Milk Oats,159.07378533193682,0.7,model_regressor,159.07378533193682,20.698551844975412
51ef1dc9-34,healthybee,Classic Grill Chicken Salad,139.8725805615809,0.7,model_regressor,139.8725805615809,20.1686585912297
51ef1dc9-65,healthybee,Banana Milkshake,109.34199674604315,0.7,model_regressor,109.34199674604315,17.723438531394365
51ef1dc9-41,healthybee,Corn Salad,131.39492481113155,0.7,model_regressor,131.39492481113155,16.62494167341835
hb-i2,healthybee,Quinoa & Roasted Veg Bowl,304.12448293677625,0.7,model_regressor,304.12448293677625,15.875517063223754
3264c85c-188,swad gomantak,Kokum Sharbat,216.07711424604256,0.7,model_regressor,216.07711424604256,15.845878412210254
51ef1dc9-51,healthybee,Corn Veggie Wrap,181.93700366260848,0.7,model_regressor,181.93700366260848,15.357798324260784
ac4ec427-397,shree krishna veg es,Special Fruit Salad With Icecream,172.1898812456499,0.7,model_regressor,172.1898812456499,13.898609542182982
51ef1dc9-0,healthybee,Paneer Sprouts Salad,148.3416540273115,0.7,model_regressor,148.3416540273115,13.60982266509319
51ef1dc9-85,healthybee,Honey Ginger Lemonade,180.64713671026905,0.7,model_regressor,180.64713671026905,13.360873816976579
51ef1dc9-35,healthybee,Sprouts Salad,61.02381296193482,0.7,model_regressor,61.02381296193482,12.101846154677787
51ef1dc9-25,healthybee,Veg Coleslaw Sandwich,183.94956071748976,0.7,model_regressor,183.94956071748976,11.64162960732557
51ef1dc9-37,healthybee,Paneer Salad,199.01493751025995,0.7,model_regressor,199.01493751025995,11.496412183476423
3264c85c-190,swad gomantak,Roasted Papad,240.44660957733296,0.7,model_regressor,240.44660957733296,11.337000080058118
